ID,Reviewer,Rating,Review Time,Review Content,Owner Response
36,Papi Young,5,2019-07-07,Damn beautiful place with great acoustics and eye pleasing. Music and wrestling in a church....terrrrific shows. Just publish your programs and maybe some english kid shows too. Your valets could be a little politer too. But SUPERB OVERALL...BRAVO,None
37,Sarah Dagar,4,2023-05-07,Interesting ❤️,Merci de le commentaire! Au plaisir de vous revoir!
38,Luciano Bragagnolo,4,2022-07-06,"Difficult parking, amazing that church building with lots of history is given continued life","Thank you Luciano!
We do not have a private parking and unfortunately, in Montreal, street parking can be challenging, even in our residential area.
Hope you enjoyed the show !"
39,Anthony R.,4,2022-07-06,Beautiful venue,Thank you Anthony !
40,Yann Larente,5,2017-07-07,"Good stage for shows, the sound is great!

The floor can be a bit hard on the feet. Make sure you have comfortable shoes!",None
41,Alpha Star67,4,2018-07-07,"Fantastic setting for a wedding! Well laid out, great acoustics and lighting. A great venue for parties, assemblies and blowouts.",None
42,Florian Prat-Vincent,1,2017-07-07,"I walked in with my messenger bag, after the opening set I went to the bathroom and when I tried to get back in security made me put it in coat check despite me already having gotten in before. I did not have the $2 for coat check and worse I saw plenty of others with backpacks and large handbags for whom this arbitrary rule had not applied.

Also the stage needs to be 2 or 3 feet higher. If you're short and in the back you won't see anything.",None
43,Drew Benard,4,2022-07-06,"Beautiful venue, history and culture are permentaly infused in this well maintained location.",None
44,Dikran Poladian,5,2020-07-06,"Great venue, been attending, playing at and hosting events here for years and it's one of my favourite venues in the city.",None
45,Shawn Hicks,5,2018-07-07,"Great ambience. Amazing staff, food, performance",None
46,Sylvain Dottin,5,2020-07-06,"Great place, Good music. The Art festival was fantastic.  Artists from around the city,  showcasing they work.",None
47,P A,5,2018-07-07,👍 : Awesome place. Did an SPCA fundraiser here and it was spacious and had a really cozy ambiance. Worth booking a venue here. …,None
48,Nathalie T,5,2022-07-06,Nice place. We had gone to see a show,None
49,Sarah Mcaughey,5,2019-07-07,lovely space for events -  easy to get to via metro or car. The sound is amazing in there. I went for a charity event,None
50,Sasha Wloski,5,2022-11-08,Great venue for a large party,None
51,Laura Hughes,4,2018-07-07,Wonderful venue in an old church which keeps a lot of the original features. Great for large events.,None
52,Carolyn Coulombe,5,2022-10-09,Beautiful place and acoustic are amazing,Merci Carolyn !
53,V Theodora,4,2022-07-06,Great service! Beautiful venue!,Thank you Theodora !
