ID,Reviewer,Rating,Review Time,Review Content,Owner Response
36,MOHIT SHARMA,5,2023-05-08,Amazing place to spend time on the river side. There is a beautiful park and the biosphere,None
37,Brian Clark,5,2022-09-10,"Traveled from US to br a part of the Epic Rammstein concert.
The venue was outstanding.
Sound quality superb. …",None
38,Elina Marshall,5,2023-06-07,Wonderful park in a urban area.,None
39,A Bousi,5,2023-03-09,"Great venue to see a show. Very organized. There is a bit of a walk from the parking lot, but this is not a big deal.
It is easy to get to by car or public transit. …",None
40,Huriata Bonilla,5,2023-05-08,Amazing place for hanging out with friends and shooting great photo sessions,None
41,Kurt Jorgensen,5,2022-11-09,"Nice park to visit. Close to centre of Montreal with Metro connection from Berri UQAM.
Quiet on Monday we visited and out of tourist season.",None
42,Wee Khim Lee,4,2022-11-09,Visited summer 2022 while on trip to Montreal. Easy ride on the metro and the entire park can be easily explored on foot. Cafes and public amenities all provide a pleasant visiting experience. Offers nice waterfront view of downtown.,None
43,Bob Hunt,5,2022-11-09,We rented bixis and road over to the park from the old port. Was a nice ride and I didn't realize you actually can cycle the formula 1 track when you get there. The park is large and there is an amusement park there and lots of other things to do.,None
44,Daman Yang,4,2023-06-30,"Nice park, pretty sunset views",None
45,Bhargav Yagnik,5,2022-07-07,"Jean Drapeau is one of the best park in Montreal... especially if you want serene peace and some amazing views of skyline of downtown Montreal, this is the place. …",None
46,Nicholas G (Nick),5,2022-07-07,"This is a very nice park. It's cool to go visit in the summer, nice place to walk around. It's even better when there's festivals. I've been to lots of events here, my favorite being Heavy MTL. Saw so many good bands. Can't wait for everything to be back to normal again !",None
47,Sara Oday,4,2022-11-09,"The Biosphere was fun and informative, many different experiences throughout but thebest thing was the view from the roof. The rest of the park sadly seemed very empty and boring",None
48,Mauricio Kimura,5,2019-07-08,"If you are looking for some peace inside this big city, this is the place. This artificial island has great facilities for shows, sports and the like. There is also a casino in there! Easily accessed by metro, come, bring your foldable chair and relax just few minutes from the crowd.",None
49,Gaurav Hegde,5,2022-07-07,"Lovely park right by the metro station.
A beautiful view of the ferris wheel and the montreal skyline.
Nice place to take and evening stroll or a evening bike ride",None
